fuel_type,body_type,kilometer,transmission_type,owner_no,brand,model,model_year,price,registration_year,seats_count,RDO_no,car_engine_cc,mileage,color,gear_box,location,age
Petrol,Hatchback,120000,Manual,3,Maruti,Maruti Celerio,2015,400000.0,2015,5,KA51,998,23.1,White,5,bangalore,8
Petrol,SUV,32706,Manual,2,Ford,Ford Ecosport,2018,811000.0,2018,5,KA05,1497,17.0,White,5,bangalore,5
Petrol,Hatchback,11949,Manual,1,Tata,Tata Tiago,2018,585000.0,2018,5,KA03,1199,23.84,Red,5,bangalore,5
Petrol,Sedan,17794,Manual,1,Hyundai,Hyundai Xcent,2014,462000.0,2014,5,KA53,1197,19.1,Others,5,bangalore,9
Diesel,SUV,60000,Manual,1,Maruti,Maruti SX4 S Cross,2015,790000.0,2015,5,KA04,1248,23.65,Gray,5,bangalore,8
Diesel,SUV,20000,Manual,1,Jeep,Jeep Compass,2020,1900000.0,2020,5,KA04,1956,17.1,Others,6,bangalore,3
Petrol,Hatchback,37772,Manual,1,Datsun,Datsun GO,2017,345000.0,2017,5,KA05,1198,20.63,Grey,5,bangalore,6
Petrol,SUV,30000,Automatic,1,Hyundai,Hyundai Venue,2021,1200000.0,2021,5,KA51,998,18.15,Others,7,bangalore,2
Petrol,Sedan,37000,Automatic,1,Maruti,Maruti Ciaz,2018,960000.0,2018,5,KA03,1462,20.28,Maroon,4,bangalore,5
Petrol,Hatchback,11949,Manual,1,Tata,Tata Tiago,2017,585000.0,2018,5,KA03,1199,23.84,Red,5,bangalore,5
Petrol,Hatchback,50000,Manual,1,Maruti,Maruti Baleno,2018,690000.0,2018,5,,1197,21.4,Red,5,bangalore,5
Petrol,Hatchback,24887,Automatic,1,Hyundai,Hyundai Grand i10,2019,682000.0,2019,5,KA51,1197,18.9,Orange,4,bangalore,4
Petrol,Hatchback,23000,Automatic,1,Honda,Honda Jazz,2018,825000.0,2018,5,KA03,1199,18.2,Grey,5,bangalore,5
Petrol,Hatchback,48928,Automatic,1,Tata,Tata Tiago,2018,595000.0,2018,5,KA03,1199,23.84,Red,5,bangalore,5
Diesel,SUV,108862,Manual,3,Mahindra,Mahindra XUV500,2014,690000.0,2014,7,KA01,2179,15.1,Silver,6,bangalore,9
Diesel,SUV,80000,Manual,1,Jeep,Jeep Compass,2018,1350000.0,2018,5,OD02,1956,17.1,Others,6,bangalore,5
Diesel,SUV,16000,Automatic,1,Mercedes-Benz,Mercedes-Benz GLA,2022,5595000.0,2022,5,KA01,1950,19.0,Blue,8,bangalore,1
Diesel,Hatchback,65376,Manual,2,Hyundai,Hyundai i20,2014,521000.0,2014,5,KA41,1396,21.27,Blue,6,bangalore,9
Petrol,SUV,10000,Manual,1,Tata,Tata Nexon,2022,1005000.0000000001,2022,5,KA02,1199,17.33,Others,6,bangalore,1
Petrol,Sedan,67000,Manual,2,Honda,Honda City,2016,775000.0,2016,5,KA53,1497,17.8,Brown,5,bangalore,7
Diesel,Sedan,100000,Automatic,3,BMW,BMW 5 Series,2011,2200000.0,2011,5,,1995,18.48,White,6,bangalore,12
Petrol,Hatchback,18083,Manual,1,Maruti,Maruti Swift,2016,582000.0,2016,5,KA04,1197,22.38,Silver,5,bangalore,7
Petrol,SUV,30000,Manual,1,Renault,Renault Duster,2020,1090000.0,2020,5,KA01,1498,16.42,Others,5,bangalore,3
Petrol,Hatchback,57634,Manual,2,Tata,Tata Tiago,2016,457000.0,2016,5,KA05,1199,23.84,Silver,5,bangalore,7
Petrol,Sedan,50000,Automatic,2,Mercedes-Benz,Mercedes-Benz S-Class,2016,4900000.0,2016,5,,4663,7.81,Others,7,bangalore,7
Petrol,Sedan,110000,Manual,1,Honda,Honda City,2015,550000.0,2015,5,HR26,1497,17.4,Others,5,bangalore,8
Petrol,Hatchback,23447,Automatic,1,Hyundai,Hyundai Santro,2018,570000.0,2018,5,KA04,1086,20.3,Yellow,5,bangalore,5
Lpg,Hatchback,30000,Manual,2,Hyundai,Hyundai Santro Xing,2009,220000.00000000003,2009,5,,1086,13.45,Others,5,bangalore,14
Petrol,Sedan,33000,Automatic,1,Mercedes-Benz,Mercedes-Benz E-Class,2017,4145000.0000000005,2017,5,KA05,1991,15.0,White,9,bangalore,6
Diesel,SUV,87667,Manual,2,Mahindra,Mahindra XUV500,2014,861000.0,2014,7,KA04,2179,15.1,Black,6,bangalore,9
